abba|babba
alienstorm|alienstorm
aliensyndrome|aliensyndrome
alienworld|alienworld
alien³|alien3
aliex|aliex
allanborderscricket|allanborderscricket
allnewworldoflemmings|allnewworldoflemmings
alloallocartoonfun|alloallo
alpha1|alpha1
alphawaves|alphawaves
alteredbeast|alteredbeast
altereddestiny|altereddestiny
amazingspidermanandcaptainamericaindrdoomsrevenge|drdoomsrevenge
amazingspiderman|amazingspiderman
ambermoon|ambermoon
amberstar|amberstar
amegas|amegas
americangladiators|americangladiators
americanicehockey|superstaricehockey
americanpoker|americanpoker
americantagteamwrestling|americantagteamwrestling
amigaencounter|encounter
amigakarate|amigakarate
amirobbo|amirobbo
amnios|amnios
anarchy|anarchy
ancientartofwarintheskies|ancientartofwarintheskies
anotherworld|anotherworld
anstoss|anstoss
antago|antago
antaresdergriffnachdensternen|antaresdergriffnachdensternen
antheadsitcamefromthedesertiidatadisk|itcamefromthedesert2
apacheflight|apacheflight
apanosin|apanosin
apb|apb
apidya|apidya
apocalypse|apocalypse
applehunt|applehunt
apprentice|apprentice
aquablast|aquablast
aquanaut|aquanaut
aquaticgamesstarringjamespondandtheaquabats|aquaticgames
aquaventura|aquaventura
arabiannights|arabiannights
arachnophobia|arachnophobia
arcadefruitmachine|arcadefruitmachine
arcadepool|arcadepool
arcadesnooker|arcadesnooker
arcadetriviaquiz|arcadetriviaquiz
archermacleanspool|archermacleanspool
archipelagos|archipelagos
archoniiadept|archon2
archonthelightandthedark|archon
arcticfox|arcticfox
arena|arena
arkanoidrevengeofdoh|arkanoidrevengeofdoh
arkanoid|arkanoid
armageddonman|armageddonman
armalytethefinalrun|armalyte
armourgeddoniicodenamehellfire|armourgeddon2
armourgeddon|armourgeddon
armymoves|armymoves
arnie2|arnie2
arnie|arnie
artofchess|artofchess
artura|artura
ashesofempire|ashesofempire
assassinspecialedition|assassinspecialedition
assassin|assassin
astaroththeangelofdeath|astaroth
astatin|astatin
asterixoperationgetafix|asterixoperationgetafix
asterixundoperationhinkelstein|asterixoperationhinkelstein
astromarinecorps|astromarinecorps
atax|atax
atfii|atf2
atlantyda|atlantyda
atomicrobokid|atomicrobokid
atomino|atomino
atomix|atomix
atomsmasher|atomsmasher
atrainconstructionset|atrainconstructionset
atrain|atrain
atrallterrainracing|allterrainracing
attackofthegreensmellyaliensfromplanet27b|attackofthegreensmellyaliensfromplanet27b6
aufdersuchenachdemvogelderzeit|questforthetimebird
aufschwungost|aufschwungost
auntarcticadventure|auntarcticadventure
australopiticusmechanicus|australopiticusmechanicus
autoduel|autoduel
av8bharrierassault|av8bharrierassault
aventuraespacial,la|aventuraespacial
aventuraoriginal,la|aventuraoriginal
aventuresdemoktar,les|aventuresdemoktar
awesome|awesome
axelsmagichammer|axelsmagichammer
axeofrage|axeofrage
aztecchallenge|aztecchallenge
b17flyingfortress|b17flyingfortress
baal|baal
babayaga|babayaga
babyjoingoinghome|babyjoingoinghome
backlash|backlash
backtothefuturepartiii|backtothefuturepart3
backtothefuturepartii|backtothefuturepart2
badcat|badcat
badcompany|badcompany
baddudesvsdragonninja|baddudesvsdragonninja
baddudes|baddudes
badlandspete|badlandspete
badlands|badlands
bagitman|bagitman
balanceofpowergeopoliticsinthenuclearage|balanceofpower
balanceofpowerthe1990edition|balanceofpower1990edition
ballgame|ballgame
ballistix|ballistix
ballraiderii|ballraider2
ballraider|ballraider
banditkingsofancientchina|banditkingsofancientchina
bangkokknights|bangkokknights
banshee|banshee
banzai|banzai
barbarianii|barbarian2
barbariantheultimatewarrior|barbarian
barbarian|barbarian
bardstaleiiithiefoffate|bardstale3
bardstaleiithedestinyknight|bardstale2
bardstaletalesoftheunknown|bardstale
bargames|bargames
bargonattack|bargonattack
barneybeargoestoschool|barneybeargoestoschool
barneybeargoestospace|barneybeargoestospace
basejumpers|basejumpers
basketisland|basketislanddemo1
basketisland|basketislanddemo2
batii|bat2
batmanreturns|batmanreturns
batmanthecapedcrusader|batmancapedcrusader
batman|batmanthemovie
battlebound|battlebound
battlechessiichinesechess|battlechess2
battlechess|battlechess
battlecommand|battlecommand
battlefortheashes|battlefortheashes
battlehawks1942|battlehawks1942
battleisledatadisks|battleisledatadisks
battleisle|battleisle
battlemaster|battlemaster
battleships|battleships
battlesquadronthedestructionofthebarraxempire|battlesquadron
battlestorm|battlestorm
battletechthecrescenthawksinception|battletech
battletoads|battletoads
battlevalley|battlevalley
bat|bat
bckid|bckid
beachvolley|beachvolley
beam|beam
beastbusters|beastbusters
beastlord|beastlord
beavers|beavers
behindtheirongate|behindtheirongate
belial|belial
beneathasteelsky|beneathasteelsky
benefactor|benefactor
berlin1948|berlin1948
bestofthebestchampionshipkarate|bestofthebest
betrayal|betrayal
betterdeadthanalien|betterdeadthanalien
bettermaths|bettermaths
beverlyhillscop|beverlyhillscop
beyonddarkcastle|beyonddarkcastle
beyondtheicepalace|beyondtheicepalace
bezkompromisu|bezkompromisu
bigbusiness|bigbusiness
bignosethecaveman|bignosethecaveman
bigrun|bigrun
biingsex,intrigenundskalpelle|biing
billardamericain|archermacleansbillardamericain
billstomatogame|billstomatogame
biochallenge|biochallenge
bioniccommando|bioniccommando
biplaneduel|biplaneduel
birdsofprey|birdsofprey
bismarck|bismarck
blackcauldron|blackcauldron
blackcrypt|blackcrypt
blackgold|blackgold
blackhornet|blackhornet
blacklamp|blacklamp
blacksect|blacksect
blackshadow|blackshadow
blacktiger|blacktiger
blackviper|blackviper
bladesofsteel|bladesofsteel
bladewarrior|bladewarrior
blastaball|blastaball
blastar|blastar
blasteroids|blasteroids
blazingthunder|blazingthunder
blinkysscaryschool|blinkysscaryschool
blobz|blobz
blob|blob
blockout|blockout
blockshockthelastchance|blockshock
bloodmoney|bloodmoney
bloodnetacyberpunkgothic|bloodnet
bloodwychtheextendedlevels|bloodwychextendedlevels
bloodwych|bloodwych
blueangel69|blueangel69
blueangelsformationflightsimulation|blueangels
blueberry|blueberry
bluemaxacesofthegreatwar|bluemax
bluesbrothers|bluesbrothers
bmxsimulator|bmxsimulator
bobo|bobo
bobsbadday|bobsbadday
bobsgarden|bobsgarden
bodyblowsgalactic|bodyblowsgalactic
bodyblows|bodyblows
bomberbob|bomberbob
bombfusion|bombfusion
bombjackbeeredition|bombjackbeeredition
bombjack|bombjack
bombpac|bombpaccd32
bombuzal|bombuzal
bombx|bombx
bonanzabros|bonanzabros
booly|booly
boot,das|boot
borobodurplanetofdoom|borobodur
borrowedtime|borrowedtime
bostonbombclub|bostonbombclub
botics|botics
boulderdashconstructionkit|boulderdashconstructionkit
brainball|brainball
brainblasters|brainblasters
brainman|brainman
bramstokersdracula|bramstokersdracula
brataccas|brataccas
brat|brat
breach2|breach2
breach|breach
breakoutrevolution|breakoutrevolution
breathless|breathless
brianlarascricket96|brianlarascricket96
brianlarascricket|brianlarascricket
brianthelion|brianthelion
bridesofdracula|bridesofdracula
brutalfootballdeluxeedition|brutalfootball
brutalfootball|brutalfootball
brutalpawsoffury|brutalpawsoffury
bubbanstix|bubbanstix
bubble+|bubble+
bubbleandsqueak|bubbleandsqueak
bubblebobble|bubblebobble
bubbledizzy|bubbledizzy
bubblegun|bubblegun
buckrogerscountdowntodoomsdaysciencefictionroleplayingcomputergame,voli|buckrogers
budokanthemartialspirit|budokan
buffalobillsrodeogames|buffalobillswildwestshow
bugbash|bugbash
bugbomber|bugbomber
buggyboy|buggyboy
builderland|builderland
bumpnburn|bumpnburn
bumpysarcadefantasy|bumpysarcadefantasy
bundesligamanagerhattrick|bundesligamanagerhattrick
bundesligamanagerprofessional|bundesligamanagerprofessional
bunnybricks|bunnybricks
burgerman|burgerman
burningrubber|burningrubber
burnout|burnout
burntime|burntime
butcherhill|butcherhill
cabal|cabal
cabaretasteroids|cabaretasteroids
cadaver+cadaverthepayoff|cadaverthepayoff
cadaver|cadaverdemos
caesar|caesar
calephar|calephar
californiagamesii|californiagames2
californiagames|californiagames
campaignfromnorthafricatonortherneurope|campaigndatadisk
campaignii50yearsofglobalconflict|campaign2
campaigntacticalstrategicwarsimulation|campaign
cannonfodder2alienlevels|cannonfodder2alienlevels
cannonfodder2|cannonfodder2
cannonfodderamigaformatchristmasspecial|cannonsoccer
cannonfodderplus|cannonfodderplus
cannonfodder|cannonfodder
cannonfodder|cannonfoddernewcampaign
capitalpunishment|capitalpunishment
capncarnage|capncarnage
capone|capone
captainblood|captainblood
captaindynamo|dynamo
captainfizzmeetstheblastertrons|captainfizz
captainplanetandtheplaneteers|captainplanettheplaneteers
captive|captive
carcharodonwhitesharks|carcharodon
cardiaxx|cardiaxx
cardinalofthekremlin|cardinalofthekremlin
carllewischallenge|carllewischallenge
carlos|carlos
carnage|carnage
carriercommand|carriercommand
carthage|carthage
cartonrouge|cartonrouge
cartoons|cartoons
carver|carver
carvup|carvup
castlekingdoms|castlekingdoms
castlemasteriithecrypt|castlemaster2
castlemaster|castlemaster
castleofdrbrain|castleofdrbrain
castlesiisiegeandconquest|castles2
castles|castles
castlevania|castlevania
castlewarrior|castlewarrior
catchem|catchem
cattivikthevideogame|cattivik
cavemania|cavemania
cavitas|cavitas
cedricandthelostsceptre|cedric
celicagtrally|toyotacelicagtrally
celticlegends|celticlegends
centerfoldsquares|centrefoldsquares
centuriondefenderofrome|centurion
century|century
chamberofthescimutantpriestess|chamberofthescimutantpriestess
chambersofshaolin|chambersofshaolin
championdriver|championdriver
championshipgolfthegreatcoursesoftheworldvolumeipebblebeach|championshipgolf
championshiprun|championshiprun
champ|champ
chaosengine2|chaosengine2
chaosengine|chaosengine
chaosinandromedaeyesoftheeagle|chaosinandromeda
chaosstrikesbackenglishutilitydisk|chaosstrikesbackenglishutilitydisk
chaosstrikesbackfrenchutilitydisk|chaosstrikesbackfrenchutilitydisk
chaosstrikesbackgermanutilitydisk|chaosstrikesbackgermanutilitydisk
charliejcool|charliejcool
chasehqiispecialcriminalinvestigation|chasehq2
chasehq|chasehq
chessmaster2000|chessmaster2000
chessplayer2150|chessplayer2150
chesssimulator|chesssimulator
chicago90|chicago90
chichénitzá|chichenitza
chipschallenge|chipschallenge
christophkolumbus|christophkolombus
chrome|chrome
chroniclesofomega|chroniclesofomega
chronoquestii|chronoquest2
chronoquest|chronoquest
chubbygristle|chubbygristle
chuckieeggii|chuckieegg2
chuckieegg|chuckieegg
chuckrock2sonofchuck|chuckrock2
chuckrock|chuckrock
chuckyeagersadvancedflighttrainer20|chuckyeagersadvancedflighttrainer2
circusattractionszip|circusattractions
circusattractions|circusattractions
circusgames|circusgames
ciscoheat|ciscoheat
citadel|citadel
citydefence|citydefence
civilization|civilization
cjintheusa|cjintheusa
cjselephantantics|cjselephantantics
classicarcadia+babyarcadia|classicbabyarcadia
classicboardgames|classicboardgames
classiclotustrilogy|lotus
classicpucman|classicpucman
cliffhanger|cliffhanger
clikclak|clikclak
clockwiser|clockwiser
clou,der|clou
cloudkingdoms|cloudkingdoms
clouprofidisk,der|clouprofidisk
clownomania|clownomania
cluedomasterdetective|cluedomasterdetective
cluemasterdetective|cluemasterdetective
clue|clue
coala|coala
codenameiceman|codenameiceman
cogansrun|cogansrun
colonelsbequest|colonelsbequest
colonization|colonization
colony|colony
colorado|colorado
colorbuster|colorbuster
coloris|coloris
colossuschessxtheultimatechessprogram|colossuschessx
combatairpatrol|combatairpatrol
comboracer|comboracer
commando|commando
computerscrabbledeluxe|computerscrabble
computerthirdreich|computerthirdreich
conanthecimmerian|conanthecimmerian
conflicteurope|conflicteurope
conflictthemiddleeastsimulation|conflictmiddleeastpoliticalsimulator
conqueror|conqueror
conquestsofcamelotthesearchforthegrail|conquestsofcamelot
continentalcircus|continentalcircus
coolcroctwins|coolcroctwins
coolspot|coolspot
coolworld|coolworld
corporationmissiondisk|corporationmissions
corporation|corporation
corruption|corruption
corsaires|corsarios
corx|corx
cosmicbouncer|cosmicbouncer
cosmicpirate|cosmicpirate
cosmicrelief|cosmicrelief
cosmicspacehead|cosmicspacehead
cougarforce|cougarforce
countduckulainnosaxpleasewereegyptian|countduckula
covergirlpoker|covergirlstrippoker
covertaction|covertaction
crackdown|crackdown
crack|crack
crashgarrett|crashgarrett
crazycars3|crazycars3
crazycarsii|crazycars2
crazycars|crazycars
crazyseasons|crazyseasons
crazyshot|crazyshot
crazysueii|crazysuegoeson
crazysue|crazysue
creatures|creatures
creature|creature
crimecity|crimecity
crimedoesnotpay|crimedoesnotpay
crimewave|crimewave
croak2|croak2
croak|croak
croisierepouruncadavre|croisierepouruncadavre
crossbowthelegendofwilliamtell|crossbowthelegendofwilliamtell
crosscheck|crosscheck
cruiseforacorpse|cruiseforacorpse
cruncherfactory|cruncherfactory
crystaldragon|crystaldragon
crystalhammer|crystalhammer
crystalkingdomdizzy|crystalkingdomdizzy
crystalpalace|crystalpalace
crystalsofarborea|crystalsofarborea
cubix|cubix
cubulus|cubulus
curseofenchantia|curseofenchantia
custodian|custodian
cyberassault|cyberassault
cyberball|cyberball
cyberblast|cyberblast
cyberconiii|cybercon3
cyberempires|cyberempires
cybergames|cybergames
cybernetix|cybernetix
cybernoidiitherevenge|cybernoid2
cybernoidthefightingmachine|cybernoid
cyberpunks|cyberpunks
cyberworld|cyberworld
cyberzerk|cyberzerk
cyclesinternationalgrandprixracing|cycles
cygnus8|cygnus8
cytadela|cytadela
cytron|cytron
dalekattack|dalekattack
daleythompsonsolympicchallenge|daleythompsonsolympicchallenge
damagethesadisticbutcheringofhumanity|damage
damage|damagepreview
damoclesmercenaryii|damocles
dandareiiitheescape|dandare3
dangerousstreets|dangerousstreets
darius+|darius+
darkcastle|darkcastle
darkcentury|darkcentury
darkfusion|darkfusion
darkman|darkman
darkmere|darkmere
darkseed|darkseed
darkside|darkside
darkspyre|darkspyre
datastorm|datastorm
dawnpatrol|dawnpatrol
dayofthepharaoh|dayofthepharaoh
dayoftheviper|dayoftheviper
daysofthunder|daysofthunder
ddaythebeginningoftheend|dday
deathbringer|deathbringer
deathmask|deathmask
deathorglorydaserbevonmorgan|deathorglory
deathsword|deathsword
deathtrap|deathtrap
decimaldungeon|decimaldungeon
deconstruction|deconstruction
deepcore|deepcore
deepspace|deepspace
deep|deep
defenderii|defender2
defenderofthecrownii|defenderofthecrown2
defenderofthecrown|defenderofthecrown
defendersoftheearth|defendersoftheearth
defender|defender
defensordelacoronaii,el|defensordelacorona2
deflektor|deflektor
dejavuanightmarecomestrue|dejavu
dejavuiilostinlasvegas|dejavu2lostinlasvegas
deliverance|deliverance
deltacommand|deltacommand
deluxegalaga|deluxegalaga
deluxepacman|deluxepacman
deluxestrippoker2datadisks|deluxestrippoker2datadisks
deluxestrippoker2|deluxestrippoker2
demonblue|demonblue
demoniak|demoniak
demonstombtheawakening|demonstombtheawakening
denaris|denaris
denjoy|denjoy
dennis|dennis
denverpresentejefaisdescouleurs|denverjefaisdescouleurs
desertstrikereturntothegulf|desertstrike
destroyer|destroyer
detonator|detonator
detroit|detroit
deuterosthenextmillennium|deuteros
deviousdesigns|deviousdesigns
dgeneration|dgeneration
dicktracythecrimesolvingadventure|dicktracyadventure
dicktracy|dicktracy
diehard2dieharder|diehard2
difensoredellacoronaii|difensoredellacorona2
diggers|diggers
digger|digger
dimosquest|dimosquest
dinosaurdetectiveagency|dinosaurdetectiveagency
dinowars|dinowars
diosadecozumel,la|diosadecozumel
discoveryinthestepsofcolumbus|discovery
discovery|discovery
disc|disc
disposablehero|disposablehero
distantarmiesaplayinghistoryofchess|distantarmies
ditris|ditris
dizzycollection5gamepack|dizzycollection
dizzydice|dizzydice
dizzypanic|dizzypanic
dizzyprinceoftheyolkfolk|dizzyprinceoftheyolkfolk
dizzysexcellentadventures|dizzysexcellentadventures
dogfight80yearsofaerialwarfare|dogfight
dogsofwar|dogsofwar
dojodan|dojodan
doman|doman
dominator|dominator
dominium|dominium
donaldducksplayground|donaldducksplayground
donaldsalphabetchase|donaldsalphabetchase
donkeykong|donkeykong
donkthesamuraiduck|donkthesamuraiduck
doodlebug|doodlebug
doofus|doofus
doubleagent|doubleagent
doubledragoniiitherosettastone|doubledragon3
doubledragoniitherevenge|doubledragon2
doubledragon|doubledragon
doubledribble|doubledribble
downhillchallenge|downhillchallenge
drachenvonlaas,die|drachenvonlaas
dragonbreed|dragonbreed
dragonfighter|dragonfighter
dragonflight|dragonflight
dragonsbreath|dragonsbreath
dragonscape|dragonscape
dragonslairescapefromsingescastle|dragonslairescapefromsingescastle
dragonslairiiithecurseofmordread|dragonslair3
dragonslairiitimewarp|dragonslair2
dragonslair|dragonslair
dragonspirit|dragonspirit
dragonstone|dragonstone
dragonstone|dragonstonev10cd32lha
dragontilesiithetournament|dragontiles2
dragontiles|dragontiles
dragonwars|dragonwars
drakkhen|drakkhen
dreamweb|dreamweb
dreamzone|dreamzone
drfruit|drfruit
driller|driller
drip|drip
drivinforce|drivinforce
drmario|drmario
ducktalesthequestforgold|ducktales
duggerstarringherbiestone|dugger
duneiithebattleforarrakis|dune2
dune|dune
dungeonmasteriithelegendofskullkeep|dungeonmaster2
dungeonmaster|dungeonmaster
dungeonquest|dungeonquest
dungeonsofavaloniitheislandofdarkness|dungeonsofavalon2
dungeonsofavalon|dungeonsofavalon
dux|dux
dylandogthemurderers|dylandogthemurderers
dynablaster|dynablaster
dynamitedux|dynamitedux
dynastywars|dynastywars
dyter07|dyter07
débutplanetsimulation|debutplanetsimulation
défenseurdelacouronneii|defenseurdelacouronne2
eaglesrider|eaglesrider
ebonstar|ebonstar
ecophantoms|ecophantoms
eco|eco
eddtheduck2backwithaquack|eddtheduck2
eddtheduck|eddtheduck
eishockeymanager|eishockeymanager
eksperymentdelfin|eksperymentdelfin
electronicpool|electronicpool
elfmania|elfmania
elf|elf
eliminator|eliminator
eliteadvanced|eliteadvanced
elite|elite
elviraiithejawsofcerberus|elvira2
elviramistressofthedark|elvira
elvirathearcadegame|elviraarcade
embryo|embryo
emeraldmine3professional|emeraldmine3
emeraldmineii|emeraldmine2
emeraldmines|emeraldmines
emeraldmine|emeraldmine
emlynhughesinternationalsoccer|emlynhughesinternationalsoccer
emmanuelle|emmanuelle
emotion|emotion
empiresoccer94|empiresoccer94
enchantedland|enchantedland
enemy2missinginaction|enemy2missinginaction
enemytempestofviolence|enemytempestofviolence
enforcer|enforcer
englandchampionshipspecial|englandchampionshipspecial
enlightenmentdruidii|enlightenment
entity|entity
epicepicextramissions|epicmissiondisk
epic|epic
erbe,das|erbe
erbe2dasschmutzigeerbe|schmutzigeerbe
erik|erik
escapefromcolditz|escapefromcolditz
escapefromcolditz|fluchtauscolditz
escapefromtheplanetoftherobotmonsters|escapefromtheplanetoftherobotmonsters
eskadra|eskadra
eskimogames|eskimogames
espanathegames92|espanathegames92
eswat|eswat
etsrugbyleague|etsrugbyleague
europeanchampionship1992|europeanchampionship1992
europeanchampions|europeanchampions
europeanfootballchamp|europeanfootballchamp
eurosoccer|eurosoccer
evildawn|evildawn
excalibur|excalibur
executioner|executioner
exile|exile
exolon|exolon
exploraiiisouslesigneduserpent|explora3
exploraii|explora2
explora|explora
extase|extase
exterminator|exterminator
extractorsthehangingworldsofzarg|extractorpreview
extrial|extrial
eyeofhorus|eyeofhorus
eyeofthestorm|eyeofthestorm
eye|eye
f15strikeeagleii|f15strikeeagle2
f16combatpilot|f16combatpilot
f17challenge|f17challenge
f19stealthfighter|f19stealthfighter
f1tornado|f1tornado
f1worldchampionshipedition|f1worldchampionshipedition
f1|f1
f29retaliator|f29retaliator
f40pursuitsimulator|f40pursuitsimulator
fa18interceptor|fa18interceptor
faceofficehockey|faceoff
faerytaleadventure|faerytaleadventure
falconmissiondisks|falconmissiondisks
falcon|falcon
fallenangel|fallenangel
fantasticdizzy|fantasticdizzy
fantasticvoyage|fantasticvoyage
fantasyflyer|fantasyflyer
fantasyworlddizzy|fantasyworlddizzy
fascination|fascination
fastbrain|fastbrain
fastbreak|fastbreak
fastfood|fastfood
fastlane|fastlane
fatalheritage|fatalheritage
fatalmission2|fatalmission
fategatesofdawn|fategatesofdawn
fatmanthecapedconsumer|fatmanthecapedconsumer
fears|fears
federationoffreetraders|federationoffreetraders
federationquest1bssjaneseymour|bssjaneseymour
femmefataledatadisks|femmefataledatadisks
femmefatale|femmefatale
fernandezmustdie|fernandezmustdie
ferrariformulaone|ferrariformulaone
feud|feud
fidelitychessmaster2100|chessmaster2100
fiendishfreddysbigtopofun|fiendishfreddysbigtopofun
fifainternationalsoccer|fifainternationalsoccer
fighterbomberadvancedmissiondisk|fighterbomberadvancedmissions
fighterbomber|fighterbomber
fighterduelpro|fighterduelpro
fightingsoccer|fightingsoccer
fightinspirit|fightinspirit
finalassault|finalassault
finalbattle|finalbattle
finalblow|finalblow
finalcountdown|finalcountdown
finalfight|finalfight
fireandbrimstone|fireandbrimstone
fireandforget|fireforget
fireblaster|fireblaster
fireforce|fireforce
fireforgetiithedeathconvoy|fireforget2
firehawk|firehawk
fireicethedaringadventuresofcoolcoyote|fireice
firepower|firepower
firestar|firestar
firstcontact|firstcontact
firstsamurai|firstsamurai
fish|fish
fistfighter|fistfighter
fiveasidesoccer|fiveasidesoccer
flashback|flashback
fliesattackonearth|fliesattackonearth
flightoftheamazonqueen|flightoftheamazonqueen
flightoftheamazonqueen|flugderamazonqueen
flightoftheamazonqueen|lamazonequeen
flightoftheintruder|flightoftheintruder
flightpath737|flightpath737
flightsimulatoriihawaiianodysseysceneryadventure|flightsimulator2hawaiianscenerydisk
flightsimulatoriijapanscenerydisk|flightsimulator2scenerydisk13
flightsimulatoriiscenerydisk11|flightsimulator2scenerydisk11
flightsimulatoriiscenerydisk12|flightsimulator2scenerydisk12
flightsimulatoriiscenerydisk7|flightsimulator2scenerydisk07
flightsimulatoriiscenerydisk9|flightsimulator2scenerydisk09
flightsimulatoriiwesterneuropeantourscenerydisk|flightsimulator2scenerydisk14
flightsimulatorii|flightsimulator2
flimbosquest|flimbosquest
flink|flink
flintstones|flintstones
flipflop|flipflop
flipitmagnosewatercarriersfrommars|flipitmagnose
flood|flood
floor13|floor13
flyfighter|flyfighter
flyharder|flyharder
flyingshark|flyingshark
foolserrand|foolserrand
footballeroftheyear2|footballeroftheyear2
footballglory|footballglory
footballmanager2|footballmanager2
footballmanagerworldcupedition|footballmanagerworldcupedition
forestdumbforever|forestdumbforever
forgottenmine1|forgottenmine
forgottenworlds|forgottenworlds
formula1grandprix|formula1grandprix
foundationswaste|foundationswaste
fourcrystalsoftrazere|fourcrystalsoftrazere
fractionaction|fractionaction
francobaresiworldcupkickoff|francobaresiworldcup
frankenstein|frankenstein
frankothecrazyrevenge|franko
franticfreddie|franticfreddie
freakout|freakout
freedomdiekriegerdesschattens|freedom
freedomlesguerriersdelombre|freedom
freedomlosguerrerosdelanoche|freedom
freedomrebelsinthedarkness|freedom
frenetic|frenetic
frightnight|frightnight
frontiereliteii|frontier
frostbyte|frostbytev050111529lha
fullcontact|fullcontact
fullmetalplanete|fullmetalplanete
funturatum|funturatum
furyofthefurries|furyofthefurries
fusion|fusion
fussballtotal|fussballtotal
futurebasketball|futurebasketball
futurebikesimulator|futurebikesimulator
futureclassicscollection|futureclassicscollection
futureshock|futureshock
futuretank|futuretank
futurewarstimetravellers|futurewars
fuzzball|fuzzball
gadgetlostintime|gadgetlostintime
gainforce|gainforce
galacticconqueror|galacticconqueror
galacticempire|galacticempire
galacticthexmasedition|galacticthexmasedition
galacticwarriorrats|galacticwarriorrats
galaga92|galaga92
galaxy89|galaxy89
galaxyblast|galaxyblast
galaxyforceii|galaxyforce2
galdregonsdomain|galdregonsdomain
gameofharmony|gameofharmony
gamessummeredition|gamessummeredition
gameswinteredition|gameswinteredition
ganymed|ganymed
garfieldbig,fat,hairydeal|garfieldbigfathairydeal
garfieldwinterstail|garfieldawinterstail
garrisonii|garrison2
garrison|garrison
garylinekershotshot|garylinekershotshot
gauntletiiithefinalquest|gauntlet3
gauntletii|gauntlet2
gazzaii|gazza2
gbachampionshipbasketballtwoontwo|gbachampionshipbasketball
gearworks|gearworks
geebeeairrally|geebeeairrally
geisha|geisha
geminiwing|geminiwing
gemstonelegend|gemstonelegend
gemx|gemx
genesia|genesia
gettysburg|gettysburg
ghostbattle|ghostbattle
ghostbustersii|ghostbusters2
